~               Val    B    C    D    M    m    N    P    p    S    W
Buffalo           B    ~  454  216 1181  731  292 1906  178 1699  292
Chicago           C  454    ~  238 1188  355  713 1453  410 1260  597
Detroit           D  216  238    ~ 1152  543  482 1690  205 1492  396
Miami             M 1181 1188 1152    ~ 1511 1092 1982 1010 2089  923
Minneapolis       m  731  355  543 1511    ~ 1018 1280  743  987  934
NewYork           N  292  713  482  1092 1018   ~ 2145  317 1972  205
Phoenix           P 1906 1453 1690 1982 1280 2145    ~ 1828  504 1983
Pittsburgh        p  178  410  205 1010  743  317 1828    ~ 1668  192
SaltLakeCity      S 1699 1260 1492 2089  987 1972  504 1668    ~ 1848
WashingtonDC      W  292  597  396  923  934  205 1983  192 1848    ~
