~               Val    A    B    C    D    d    H    V    L    M    n    N    P    S    s    W
Atlanta           A    ~ 1095  715  805 1437  844 1920 2230  675  499  884 1832 2537 2730  657
Boston            B 1095    ~  983 1815 1991 1886 2500 3036 1539 1541  213 2664 3179 3043  440
Chicago           C  715  983    ~  931 1050 1092 1500 2112 1390  947  840 1729 2212 2052  695
Dallas            D  805 1815  931    ~  801  242 1150 1425 1332  504 1604 1027 1765 2122 1372
Denver            E 1437 1991 1050  801    ~ 1032  885 1174 2094 1305 1780  836 1266 1373 1635
Houston           H  844 1886 1092  242  885    ~ 1525 1556 1237  365 1675 1158 1958 2348 1443
LasVegas          V 1920 2500 1500 1150  885 1525    ~  289 2640 1805 2486  294  573 1188 2568
LosAngeles        L 2230 3036 2112 1425 1174 1556  289    ~ 2757 1921 2825  398  403 1150 2680
Miami             M  675 1539 1390 1332 2094 1237 2640 2757    ~  892 1328 2359 3097 3389 1101
NewOrleans        n  499 1541  947  504 1305  365 1805 1921  892    ~ 1330 1523 2269 2626 1098
NewYork           N  884  213  840 1604 1780 1675 2486 2925 1328 1330    ~ 2442 3036 2900  229
Phoenix           P 1832 2664 1729 1027  836 1158  294  398 2359 1523 2442    ~  800 1482 2278
SanFrancisco      S 2537 3179 2212 1765 1266 1958  573  403 3097 2269 3036  800    ~  817 2864
Seattle           s 2730 3043 2052 2122 1373 2348 1188 1150 3389 2626 2900 1482  817    ~ 2755
WashingtonDC      W  657  440  695 1372 1635 1443 2568 2680 1101 1098  229 2278 2864 2755    ~
